file,label,F1_fft_max_mag,F1_dwt_energy,F2_fft_max_mag,F2_dwt_energy,F3_fft_max_mag,F3_dwt_energy,F4_fft_max_mag,F4_dwt_energy,F5_fft_max_mag,F5_dwt_energy,F6_fft_max_mag,F6_dwt_energy,F7_fft_max_mag,F7_dwt_energy,F8_fft_max_mag,F8_dwt_energy,F9_fft_max_mag,F9_dwt_energy,F10_fft_max_mag,F10_dwt_energy
A_18_1030crop.csv,A,118737.75,0.22951351471654102,8402.75,0.22316188566895773,392.625,0.21637182619610473,218035.75,2.2269568231844903,80106.0,1.3847126278851587,57994.5,0.6016829314616834,1600.875,0.9036814430381478,352934.125,1.5903393619276747,213880.875,0.6475283470355133,322901.875,2.4572233656400053
A_19_1030crop.csv,A,164685.75,0.4911046204395847,14701.5,0.3013072446560452,465.25,0.18615011668228965,259458.625,2.723203142675898,118697.0,2.9019782248513204,81765.0,0.9981115910555978,2430.625,0.8026044820413151,398527.75,1.9185285563294656,261021.625,1.1887783674641468,372124.25,2.9390155141127647
A_20_1030crop.csv,A,220659.625,0.6553458894052868,29720.75,0.5031925797631664,698.375,0.2000611064343903,304111.125,2.504042739104567,178786.375,3.699287655279991,118425.75,1.4389493214443627,4246.125,0.6285781682393345,436364.375,2.741874461465289,304603.75,1.2694941118768859,409372.125,2.695235852271006
A_21_1030crop.csv,A,160722.375,0.6146835162594757,13478.625,0.31539086986217146,359.125,0.1802320550857826,253200.75,2.3065055855083987,115247.125,2.464411056817586,77404.75,0.9149664489545486,2453.0,0.76947427978122,397612.125,1.8753923495064817,253106.125,0.7985965635814624,361375.0,2.4012825318918707
A_22_1030crop.csv,A,218766.0,1.2215909435633587,29806.0,0.3873404408221246,523.25,0.2237169914988155,298541.5,3.12959546235251,182592.125,5.471751797447242,120160.75,1.9367534593226823,4428.125,0.6658621933704627,430464.0,2.889518604908851,312010.75,1.7444873365147013,410629.25,6.546943995279328
A_23_1030crop.csv,A,143111.875,0.3220939091609612,10849.375,0.23839079577234196,296.625,0.19593148471453492,239181.375,2.7772706185848617,99670.625,2.468105733719469,67422.75,0.8715506359368542,2060.75,0.9457481815674338,384744.75,2.4284451058971395,241907.25,0.8684428046927617,346757.25,2.832692433528394
A_24_1030crop.csv,A,140448.625,0.23703337497975838,10457.75,0.25740574488566426,217.75,0.16004241041800865,237359.75,2.1927793423658346,99213.5,1.5735338325842088,63495.5,0.6068232596409228,98.31067160330679,1.0630252597076253,382450.625,1.9022910546452112,240006.75,0.7994026418225506,350303.5,2.3475168611059214
A_25_1030crop.csv,A,164334.25,0.4085533455911243,14282.125,0.27082008041158134,479.375,0.16376110859619805,257392.125,1.9591181602752097,121173.125,2.385500398620025,89391.25,0.7800028015950672,4653.75,1.1581328305336167,401044.75,2.060823003282181,260153.25,0.9166560416033012,370169.25,3.6060729712390214
A_26_1030crop.csv,A,191149.5,0.6217734777667632,20065.875,0.394783551479138,687.125,0.17037665023487047,276816.375,1.657040427944373,147961.0,2.42398589208919,95457.25,1.1588700966894423,3182.5,1.1067693421549425,417873.0,1.7901258239413056,282177.5,0.913691645747513,390331.5,4.863084854782328
A_27_1030crop.csv,A,137159.375,0.306544373567039,10890.875,0.36384076488448314,598.75,0.15664736538887017,229968.0,1.8424100707026123,97878.0,1.7054838297719264,64847.625,0.5490554165222347,2176.375,1.2922811968281063,376804.875,1.668645715071956,236410.25,0.6628098894935397,341958.375,2.190954348601219
A_28_1030crop.csv,A,143437.625,0.3027514584262685,11458.375,0.24261266249571983,238.25,0.13020124730538793,241702.375,1.8940632977819043,106338.875,1.521976957131445,69013.25,0.6397852397914644,1734.375,0.6899115057378942,386661.75,1.6739549843160018,245936.625,0.7799784517281191,355692.625,2.5197681572159323
