file,label,F1_mean,F1_max,F1_median,F1_std,F1_skew,F1_kurtosis,F2_mean,F2_max,F2_median,F2_std,F2_skew,F2_kurtosis,F3_mean,F3_max,F3_median,F3_std,F3_skew,F3_kurtosis,F4_mean,F4_max,F4_median,F4_std,F4_skew,F4_kurtosis,F5_mean,F5_max,F5_median,F5_std,F5_skew,F5_kurtosis,F6_mean,F6_max,F6_median,F6_std,F6_skew,F6_kurtosis,F7_mean,F7_max,F7_median,F7_std,F7_skew,F7_kurtosis,F8_mean,F8_max,F8_median,F8_std,F8_skew,F8_kurtosis,F9_mean,F9_max,F9_median,F9_std,F9_skew,F9_kurtosis,F10_mean,F10_max,F10_median,F10_std,F10_skew,F10_kurtosis
A_18_1030crop.csv,A,590.7350746268656,1018.375,694.375,375.1302250186019,-0.376629600370207,-1.4221647556887917,41.8047263681592,88.75,41.875,30.067980441171933,0.0416915698416087,-1.4630410571057686,1.953358208955224,4.25,2.0,1.4287334059642425,0.0325113535078041,-1.4974182080129734,1084.754975124378,1438.25,1339.125,497.94819960531385,-1.3453747516657013,0.14956925265695897,398.53731343283584,577.125,469.25,190.7217104587068,-1.1029908237671915,-0.19923154760492734,288.52985074626866,400.0,342.125,130.7044313046206,-1.2706105784098831,0.1713413006393556,7.96455223880597,11.375,9.625,3.75837410576873,-0.9839485759047158,-0.4003699063780579,1755.891169154229,2302.25,2234.0,825.2345390946006,-1.311415671668512,0.02115022030106628,1064.0839552238806,1427.0,1354.875,496.4737960104519,-1.2043967926562384,-0.11692747233820588,1606.4769900497513,2001.375,1918.5,642.7216987726135,-1.6910013327539692,1.270915018935371
A_19_1030crop.csv,A,819.3320895522388,1283.625,1035.75,484.19655967833995,-0.5994373883149019,-1.2575537882933283,73.14179104477611,152.25,74.5,52.4704351227078,-0.009740686131007557,-1.4734570650384335,2.3146766169154227,5.375,2.375,1.9678342566366036,0.01977361806383959,-1.524237524490431,1290.8389303482586,1661.5,1558.125,556.3940814337019,-1.5325901774104382,0.6932432144148053,590.5323383084577,849.875,688.25,275.97592752563907,-1.1332325270524426,-0.08838497454784555,406.7910447761194,564.0,474.375,179.60164822926777,-1.304886379564295,0.323182614111595,12.092661691542288,17.25,14.875,5.875420404560299,-1.0109981804818975,-0.3979989326528859,1982.7251243781095,2486.625,2424.125,852.0791606370268,-1.5756887664713144,0.7735502235684462,1298.6150497512438,1664.125,1612.625,559.7110467931077,-1.4584840928703287,0.5477684851284992,1851.3644278606964,2241.25,2164.125,690.8928990406704,-1.9221669355716944,2.112216368444126
A_20_1030crop.csv,A,1097.80907960199,1548.75,1448.625,568.6596026036639,-0.948014003326109,-0.7397334796863073,147.8644278606965,316.75,147.75,108.12426902888576,0.038471366765820456,-1.4529670577166252,3.474502487562189,7.75,3.75,2.8889941270127584,-0.05928596758432811,-1.5347868754604523,1512.990671641791,1850.25,1781.5,587.4995092276317,-1.830592695626202,1.6997642995241513,889.4844527363184,1200.25,1044.625,384.9936043569041,-1.4153175015773694,0.5397378879029766,589.1828358208955,781.0,684.125,241.83585934388418,-1.533416223271424,0.9569420407850324,21.125,31.375,25.25,10.366668566332152,-0.8375276859497008,-0.6521262409747557,2170.967039800995,2603.625,2567.75,848.8412079885268,-1.8813759498397933,1.8109377913178166,1515.4415422885572,1850.0,1816.125,593.630592473348,-1.770511890431188,1.5446959967008125,2036.67723880597,2376.25,2334.0,696.9123274865349,-2.2057610443279034,3.2864023595491902
A_21_1030crop.csv,A,799.6138059701492,1252.875,1005.625,470.0754104505636,-0.5971856316648677,-1.251279494286558,67.05783582089552,140.5,68.375,48.59987566183868,-0.005909392219180735,-1.4719457071331246,1.7866915422885572,4.125,1.875,1.5423056089572535,-0.04785049106075297,-1.5107254174724125,1259.705223880597,1614.375,1513.0,534.2309855988839,-1.5623649187376243,0.8057286313404335,573.3687810945273,823.125,669.75,266.4578331708253,-1.140161044326372,-0.06884187580814771,385.0982587064677,533.125,448.25,168.86034023912887,-1.3047229820133102,0.3334022314173386,12.203980099502488,17.375,15.0,5.707178562466972,-0.9927415490252219,-0.4557142823089855,1978.169776119403,2498.125,2436.125,867.2597028100829,-1.5305496564685368,0.6265762785117097,1259.2344527363184,1625.25,1576.0,551.3460431141777,-1.4142926271458822,0.4199288782803343,1797.8855721393036,2195.5,2121.75,689.9785980463352,-1.837957954600859,1.7861349134043243
A_22_1030crop.csv,A,1088.3880597014925,1501.125,1424.0,539.6261826860008,-1.0616257046244637,-0.5174905396425071,148.28855721393035,288.625,159.25,101.37916753018047,-0.14310602750591703,-1.4702806093385958,2.603233830845771,6.5,2.875,2.7790318726677525,-0.06276094820020257,-1.5898994916596003,1485.2810945273632,1839.125,1722.5,564.7772003503841,-1.8511829423727235,1.8210787129135015,908.4185323383084,1289.375,1018.375,387.5028923441537,-1.2237106489660992,0.41674546385675537,597.8146766169154,838.25,666.875,245.9791370557399,-1.3065142574627944,0.686131568854238,22.03047263681592,30.0,27.5,9.828216114358943,-1.133288636316808,-0.15062797594698019,2141.6119402985073,2560.0,2497.625,807.7851519691096,-1.9614312673854764,2.1173234663260594,1552.2922885572139,1894.75,1833.875,597.7282340194549,-1.811170103739091,1.6637810836240554,2042.931592039801,2391.375,2315.75,675.6776567631625,-2.256506037221022,3.5483834216376477
A_23_1030crop.csv,A,711.9993781094528,1150.375,875.625,430.9531688986835,-0.5159079644290836,-1.3280541832173636,53.976990049751244,112.125,55.5,38.94760659491848,-0.027074587948581863,-1.4755612257878543,1.4757462686567164,3.75,1.5,1.434283738000624,0.09534230948549985,-1.4437636573291186,1189.9570895522388,1553.5,1442.5,523.235551713782,-1.4620213055428313,0.4976870636681143,495.8737562189055,721.0,574.5,230.5588727649449,-1.0799924681504576,-0.14733571078556063,335.4365671641791,469.875,390.125,149.18284108614517,-1.2432234478509536,0.18628058608949116,10.252487562189055,14.375,12.625,4.7193953868063945,-1.0599359190933895,-0.3125142054225738,1914.152985074627,2456.875,2382.25,862.4613571506576,-1.437492088134151,0.3597056141135315,1203.5186567164178,1579.125,1527.25,543.436086369953,-1.3195450746291177,0.15386052499487857,1725.160447761194,2139.375,2047.25,681.7021427842699,-1.738926890139663,1.4282406551703373
A_24_1030crop.csv,A,698.7493781094528,1152.125,845.875,428.7372857755265,-0.46826403787857857,-1.3632551258394583,52.02860696517413,109.875,52.625,37.81535259442319,0.012414507934149005,-1.4651164045791008,1.0833333333333333,2.875,1.0,1.1425410639967124,0.027162015790928227,-1.496200893227036,1180.8942786069651,1540.375,1444.875,525.2541220598821,-1.4322342716792462,0.3942116834992082,493.5995024875622,704.875,579.125,229.62113077850924,-1.136570080644786,-0.11669147338278574,315.89800995024876,443.0,374.25,146.04491674646704,-1.2200437023993127,0.028477490472617717,0.291044776119403,1.375,0.625,0.7603109817961826,-0.6157772842846474,-0.8193048616146328,1902.7394278606964,2446.75,2384.375,863.7730981803587,-1.4123921782085151,0.28853644105424703,1194.063432835821,1578.125,1518.75,545.1612966960604,-1.2765038312310188,0.05020267708950943,1742.8034825870648,2157.25,2083.875,693.6408583192828,-1.7161122636085857,1.342061011845984
A_25_1030crop.csv,A,817.5833333333334,1263.25,1027.125,467.98392978886596,-0.6352282955545175,-1.189964934141549,71.05534825870647,146.25,72.875,49.9150643581546,-0.029024124839573465,-1.4519742270182587,2.384950248756219,4.375,2.625,1.4612726163233045,-0.16294442198767115,-1.459974761049398,1280.5578358208954,1626.0,1536.375,533.5220932657378,-1.590036686713187,0.8868354398058496,602.851368159204,843.0,700.75,267.1217921394934,-1.2420966035143874,0.18168128369300396,444.73258706467664,592.0,515.0,178.402158707835,-1.404790909566892,0.5727440526900454,23.152985074626866,31.0,26.875,8.437512324355907,-1.0081821257666728,-0.3049829779487325,1995.2475124378109,2481.875,2427.5,838.2779640170071,-1.6158581604875606,0.9135397564897709,1294.294776119403,1651.0,1606.625,548.5133023304062,-1.4710927034404406,0.6041751060410139,1841.6380597014925,2221.0,2157.0,682.4985316536727,-1.9152579590331509,2.086337941233383
A_26_1030crop.csv,A,950.9925373134329,1389.125,1231.125,509.8507897768712,-0.8104802914696312,-0.9549197751697953,99.83022388059702,207.25,102.0,70.4497656590676,-0.01653504393102544,-1.4501124709843856,3.4185323383084576,6.375,3.5,1.992281863862048,-0.03796057424523039,-1.5521601715601645,1377.1958955223881,1703.75,1622.75,538.7975022160208,-1.7661237447722018,1.4935283825185026,736.1243781094528,1011.125,852.875,317.1698999167015,-1.3493056027184538,0.4594481875454619,474.91169154228857,638.875,551.0,196.6354612968557,-1.4597700379634237,0.803912391951763,15.833333333333334,23.25,18.5,7.193653631533905,-0.9708249101098184,-0.3589068316839694,2078.9701492537315,2523.5,2479.0,827.8706262629943,-1.7883012243756908,1.4888627268499883,1403.8681592039802,1744.375,1705.625,567.4242365099941,-1.638755191090856,1.1062795060827115,1941.94776119403,2287.875,2235.875,674.9019684718859,-2.1237819099707838,2.9477491341121143
A_27_1030crop.csv,A,682.3849502487562,1108.625,828.5,407.53765265779845,-0.5076044870913067,-1.3123384106106981,54.183457711442784,110.25,56.125,37.169254575267544,-0.05038170064830068,-1.4397470870786206,2.978855721393035,5.125,3.125,1.4370131869894909,-0.08015662052496816,-1.5134261133657192,1144.1194029850747,1482.5,1391.625,499.34275168424523,-1.4607330847030782,0.47716350986031975,486.95522388059703,687.875,568.5,220.01837472185906,-1.209922281051632,0.08966814916165244,322.625,439.75,378.625,139.94446859752898,-1.3693398840868842,0.4580044346852681,10.82773631840796,15.25,12.875,4.700657435243165,-1.0602190789166603,-0.2477878624602794,1874.6511194029852,2366.375,2311.125,810.5200711261713,-1.5184170806982598,0.6221720501243868,1176.1703980099503,1520.625,1476.625,510.77763704284797,-1.3858426463547235,0.37010784084582893,1701.285447761194,2068.375,2002.0,643.0198188793951,-1.8577248149562744,1.8701897888092756
A_28_1030crop.csv,A,713.6200248756219,1146.125,873.5,423.5407850692058,-0.5349255038312261,-1.2888978626488548,57.0068407960199,118.0,58.5,40.22207708361078,-0.03320845121752457,-1.4438639248644742,1.185323383084577,2.625,1.25,0.9968930689626488,-0.01920483207682374,-1.5290192665474076,1202.4993781094527,1535.375,1447.25,505.52251650324877,-1.5515112889426224,0.7764450767852864,529.0491293532339,739.875,612.75,233.21470319947898,-1.2386278523021041,0.18617266572935698,343.3495024875622,470.25,400.0,150.15593745581646,-1.3665793481963049,0.4717181768886918,8.628731343283581,14.0,11.625,5.350319515028817,-0.9314529219064757,-0.6353711038614449,1923.6902985074628,2404.625,2348.125,809.3251040705253,-1.5829614459598846,0.8328235851684886,1223.5652985074628,1575.75,1529.625,522.1444825985618,-1.4118608446140404,0.46355609833971867,1769.6150497512438,2135.875,2068.0,649.0289701297311,-1.915432661308635,2.1143845475039633
